Model	Launch	Core name	Tech	Socket	Cores	Threads	Freq (MHz)	Turbo (MHz)	FSB (MHz)	L2 Cache (KB)	L3 Cache (KB)	TDP (Watt)	DP FLOPs/cycle	DB FLOPS (No Turbo)	DB FLOPS/Watt
 E6540 	 Mar 2010 	 Nehalem-EX 	0.045	 Socket 1567 	6	12	2000	2267	 3200 (DMI/QPI) 	1536	18432	105	4	48000	457
 E7540 	 Mar 2010 	 Beckton 	0.045	 Socket 1567 	6	12	2000	2267	 3200 (DMI/QPI) 	1536	18432	105	4	48000	457
 E5507 	 Mar 2010 	 Nehalem-EP 	0.045	 Socket 1366 	4	4	2267	  	 2400 (DMI/QPI) 	1024	4096	80	4	36272	453
 E5520 	 Mar 2009 	 Nehalem-EP 	0.045	 Socket 1366 	4	8	2267	2533	 2933 (DMI/QPI) 	1024	8192	80	4	36272	453
 E5607 	 Feb 2011 	 Westmere-EP 	0.032	 Socket 1366 	4	4	2267	  	 2400 (DMI/QPI) 	1024	8192	80	4	36272	453
 X3450 	 Sep 2009 	 Lynnfield 	0.045	 Socket 1156 	4	8	2667	3200	  	1024	8192	95	4	42672	449
 X5550 	 Mar 2009 	 Nehalem-EP 	0.045	 Socket 1366 	4	8	2667	3067	 3200 (DMI/QPI) 	1024	8192	95	4	42672	449
 X5687 	 Feb 2011 	 Westmere-EP 	0.032	 Socket 1366 	4	8	3600	3867	 3200 (DMI/QPI) 	1024	12288	130	4	57600	443
 X3440 	 Sep 2009 	 Lynnfield 	0.045	 Socket 1156 	4	8	2533	2933	  	1024	8192	95	4	40528	427
 E5506 	 Mar 2009 	 Nehalem-EP 	0.045	 Socket 1366 	4	4	2133	  	 2400 (DMI/QPI) 	1024	4096	80	4	34128	427
 E5606 	 Feb 2011 	 Westmere-EP 	0.032	 Socket 1366 	4	4	2133	  	 2400 (DMI/QPI) 	1024	8192	80	4	34128	427
 X5677 	 Mar 2010 	 Westmere-EP 	0.032	 Socket 1366 	4	8	3467	3733	 3200 (DMI/QPI) 	1024	12288	130	4	55472	427
 E7530 	 Mar 2010 	 Beckton 	0.045	 Socket 1567 	6	12	1867	2133	 2933 (DMI/QPI) 	1536	12288	105	4	44808	427
 L5508 	 Mar 2009 	 Nehalem-EP 	0.045	 Socket 1366 	2	4	2000	2400	 2933 (DMI/QPI) 	512	8192	38	4	16000	421
 W3580 	 Aug 2009 	 Nehalem-WS 	0.045	 Socket 1366 	4	8	3333	3600	 3200 (DMI/QPI) 	1024	8192	130	4	53328	410
 W5590 	 Aug 2009 	 Nehalem-EP 	0.045	 Socket 1366 	4	8	3333	3600	 3200 (DMI/QPI) 	1024	8192	130	4	53328	410
 X3430 	 Sep 2009 	 Lynnfield 	0.045	 Socket 1156 	4	4	2400	2800	  	1024	8192	95	4	38400	404
 E5504 	 Mar 2009 	 Nehalem-EP 	0.045	 Socket 1366 	4	4	2000	  	 2400 (DMI/QPI) 	1024	4096	80	4	32000	400
 LC3528 	 Feb 2010 	 Jasper Forest 	0.045	 Socket 1366 	2	4	1733	2133	  	512	4096	35	4	13864	396
 E7-2803 	 Apr 2011 	 Westmere-EX 	0.032	 Socket 1567 	6	12	1733	  	 2400 (DMI/QPI) 	1536	18432	105	4	41592	396
 W3565 	 Nov 2009 	 Nehalem-WS 	0.045	 Socket 1366 	4	8	3200	3467	 2400 (DMI/QPI) 	1024	8192	130	4	51200	394
 W3570 	 Mar 2009 	 Nehalem-WS 	0.045	 Socket 1366 	4	8	3200	3467	 3200 (DMI/QPI) 	1024	8192	130	4	51200	394
 W5580 	 Mar 2009 	 Nehalem-EP 	0.045	 Socket 1366 	4	8	3200	3467	 3200 (DMI/QPI) 	1024	8192	130	4	51200	394
 W3550 	 Aug 2009 	 Nehalem-WS 	0.045	 Socket 1366 	4	8	3067	3333	 2400 (DMI/QPI) 	1024	8192	130	4	49072	377
 EC5509 	 Feb 2010 	 Jasper Forest 	0.045	 Socket 1366 	4	4	2000	  	 2400 (DMI/QPI) 	1024	8192	85	4	32000	376
 W3540 	 Mar 2009 	 Nehalem-WS 	0.045	 Socket 1366 	4	8	2933	3200	 2400 (DMI/QPI) 	1024	8192	130	4	46928	361
 X5647 	 Feb 2011 	 Westmere-EP 	0.032	 Socket 1366 	4	8	2933	3200	 2933 (DMI/QPI) 	1024	12288	130	4	46928	361
 W3530 	 Mar 2010 	 Nehalem-WS 	0.045	 Socket 1366 	4	8	2800	3067	 2400 (DMI/QPI) 	1024	8192	130	4	44800	345
 W3520 	 Mar 2009 	 Nehalem-WS 	0.045	 Socket 1366 	4	8	2667	2933	 2400 (DMI/QPI) 	1024	8192	130	4	42672	328
 E5603 	 Feb 2011 	 Westmere-EP 	0.032	 Socket 1366 	4	4	1600	  	 2400 (DMI/QPI) 	1024	4096	80	4	25600	320
 E7520 	 Mar 2010 	 Beckton 	0.045	 Socket 1567 	4	8	1867	  	 2400 (DMI/QPI) 	1024	18432	95	4	29872	314
 LC3518 	 Feb 2010 	 Jasper Forest 	0.045	 Socket 1366 	1	1	1733	  	  	256	2048	23	4	6932	301
 EC5539 	 Feb 2010 	 Jasper Forest 	0.045	 Socket 1366 	2	2	2267	  	 2933 (DMI/QPI) 	512	4096	65	4	18136	279
 X5698 	 Mar 2011 	 Westmere-EP 	0.032	 Socket 1366 	2	4	4400	  	  	512	12288	130	4	35200	271
 E6510 	 Mar 2010 	 Nehalem-EX 	0.045	 Socket 1567 	4	8	1733	  	 2400 (DMI/QPI) 	1024	12288	105	4	27728	264
 E5503 	 Mar 2010 	 Nehalem-EP 	0.045	 Socket 1366 	2	2	2000	  	 2400 (DMI/QPI) 	512	4096	80	4	16000	200
 E5502 	 Mar 2009 	 Nehalem-EP 	0.045	 Socket 1366 	2	2	1867	  	 2400 (DMI/QPI) 	512	4096	80	4	14936	187
 W3505 	 Mar 2009 	 Nehalem-WS 	0.045	 Socket 1366 	2	2	2533	  	 2400 (DMI/QPI) 	512	4096	130	4	20264	156
 W3503 	 Mar 2009 	 Nehalem-WS 	0.045	 Socket 1366 	2	2	2400	  	 2400 (DMI/QPI) 	512	4096	130	4	19200	148
 E3-1105C 	 May 2012 	 Sandy Bridge Gladden 	0.032	 BGA1284 	4	8	1000	  	  	1024	6144	25		0	0
 E3-1105C v2 	 Sep 2013 	 Ivy Bridge Gladden 	0.022	 BGA1284 	4	8	1800	  	  	1024	8192	25		0	0
 E3-1125C 	 May 2012 	 Sandy Bridge Gladden 	0.032	 BGA1284 	4	8	2000	  	  	1024	8192	40		0	0
 E3-1125C v2 	 Sep 2013 	 Ivy Bridge Gladden 	0.022	 BGA1284 	4	8	2500	  	  	1024	8192	40		0	0
 E3-1135C v2 	 Sep 2013 	 Ivy Bridge Gladden 	0.022	 BGA1284 	4	8	3000	  	  	1024	8192	55		0	0
 E3-1284L v3 	 Feb 2014 	 Crystal Well 	0.022	 BGA1364 	4	8	1800	3200	  	1024	6144	47		0	0
 W3670 	 Aug 2010 	  	0.032	 Socket 1366 	6	12	3200	3467	 2400 (DMI/QPI) 	1536	12288	130		0	0
 W3680 	 Mar 2010 	  	0.032	 Socket 1366 	6	12	3333	3600	 3200 (DMI/QPI) 	1536	12288	130		0	0
 W3690 	 Feb 2011 	  	0.032	 Socket 1366 	6	12	3467	3733	 3200 (DMI/QPI) 	1536	12288	130		0	0
 X5679 	  	 Westmere-EP 	0.032	 Socket 1366 	6	12	3200	  	 3200 (DMI/QPI) 	1536	12288	   	4	76800	0
 E5-2651 v2 	 Nov 2013 	 Ivy Bridge-EP 	0.022	 Socket 2011 	12	24	1800	  	  	3072	30720	   	8	172800	0
 E5-2696 v2 	  	 Ivy Bridge-EP 	0.022	 Socket 2011 	12	24	2500	3300	  	3072	30720	   	8	240000	0
